,1,2,3,4,5,6,7,8,9
AKAP12 ,0.064357335,-0.522091633,-0.576547534,-0.188397753,-0.774846721,-0.829302622,-0.248702555,-0.835151524,-0.889607425
SET ,-0.005737428,-0.200394485,-0.270794676,-0.033782618,-0.228439675,-0.298839866,-0.074797129,-0.269454187,-0.339854377
RAB11B ,0.990237745,0.940669445,0.679073731,0.569540288,0.519971988,0.258376274,0.382140088,0.332571787,0.070976074
RPL21 ,0.757989816,0.679767047,0.242922228,0.614129926,0.535907156,0.099062337,0.475048288,0.396825518,-0.040019301
RPL23 ,0.552682308,0.528135862,0.425718619,0.210581164,0.186034718,0.083617475,0.222614009,0.198067563,0.095650321
RBMX ,0.801855655,0.758932033,0.358703021,0.502678549,0.459754927,0.059525915,0.43951882,0.396595199,-0.003633813
KRT17 ,0.19852079,-0.037336797,0.283594322,0.366153076,0.130295489,0.451226608,0.525411393,0.289553806,0.610484924
IGF2BP1 ,0.487923674,0.451358776,0.152131761,0.314365674,0.277800776,-0.021426239,0.379327975,0.342763078,0.043536062
ANXA7 ,0.22302644,0.302481423,0.412208358,-0.015485149,0.063969835,0.17369677,0.135920272,0.215375255,0.32510219
EIF4A3 ,0.006261646,-0.267485061,-0.277176447,-0.087226763,-0.36097347,-0.370664856,-0.031485037,-0.305231744,-0.31492313
CBR1 ,0.56770861,0.444887184,0.365765025,0.189120361,0.066298935,-0.012823224,0.437767025,0.314945599,0.23582344
HNRNPH1 ,-0.04349455,-0.832112882,-1.185710359,-0.139313485,-0.927931817,-1.281529294,-0.242064752,-1.030683085,-1.384280561
CORO1C ,-0.024470213,-0.138752214,-0.025172008,-0.192618823,-0.306900824,-0.193320619,-0.087989224,-0.202271225,-0.088691019
SRSF9 ,0.425534311,0.507297191,0.037681408,0.414286992,0.496049872,0.026434089,0.431877275,0.513640155,0.044024372
NANS ,-0.07740159,-0.032670989,-0.257459609,-0.125479471,-0.080748871,-0.305537491,-0.237406144,-0.192675543,-0.417464163
CSNK2A1 ,-0.013264593,-0.062095962,0.000673594,-0.159474779,-0.208306148,-0.145536592,-0.211769636,-0.260601004,-0.197831448
ACTN1 ,0.571391093,0.460809989,0.149602747,0.359361526,0.248780422,-0.06242682,0.581227878,0.470646773,0.159439532
WARS1 ,0.410659576,0.513781441,0.121359386,0.482398322,0.585520186,0.193098132,0.227250091,0.330371956,-0.062050099
SUB1 ,0.818607959,0.657991468,0.098025849,0.985217755,0.824601264,0.264635645,0.652291656,0.491675165,-0.068290454
HPRT1 ,0.432318167,0.454252369,0.295295881,0.097065548,0.11899975,-0.039956738,0.340555636,0.362489838,0.20353335
H2AX ,-0.211283779,-0.011322108,-0.110918366,-0.23586717,-0.035905499,-0.135501757,-0.393401259,-0.193439588,-0.293035846
RPS26 ,-0.196891927,-0.378846991,-0.521618031,0.049531956,-0.132423108,-0.275194148,-0.391022243,-0.572977307,-0.715748346
ALDOC ,1.23170843,1.0344189,0.809500891,0.410588359,0.213298829,-0.01161918,0.82242658,0.62513705,0.400219042
AHCY ,0.868374031,0.729808348,0.388964288,0.412351975,0.273786293,-0.067057767,0.630497589,0.491931906,0.151087846
